fb_348	0.402	0.006	6.26	0.345	+0.057
fb_414	0.561	0.002	6.37	0.536	+0.025
fb_686	0.192	0.001	6.29	0.178	+0.014
fb_698	0.484	0.002	6.29	0.485	-0.001
fb_1684	0.408	0.006	6.29	0.407	+0.001
fb_1912	0.399	0.001	6.81	0.397	+0.002
mag_cs	0.468	0.002	13.71	0.455	+0.013
mag_chem	0.378	0.002	18.53	0.432	-0.054
